Underlying Equity's Prices,,,,
Date,Equity 1,Equity 2 ,Equity 3,Equity 4
25-Aug-20,191.8329,262.8946,737.0067,736.9981
26-Aug-20,193.0745,263.0525,740.3571,740.3612
27-Aug-20,192.3142,262.5915,738.9501,738.9511
28-Aug-20,193.4916,262.8876,739.9694,739.9701
31-Aug-20,193.8907,263.3513,741.0038,741.0023
01-Sep-20,193.589,263.7622,741.401,741.3991
02-Sep-20,193.4699,263.7939,739.5517,739.5557
03-Sep-20,193.0844,263.5539,737.9514,737.9472
04-Sep-20,193.5646,262.9449,740.5515,740.5562
08-Sep-20,195.0828,263.7815,738.9767,738.9711
09-Sep-20,194.6209,264.0292,739.8816,739.8832
10-Sep-20,194.943,264.3526,738.349,738.3505
11-Sep-20,194.8541,264.5035,740.0914,740.0917
14-Sep-20,195.2249,264.6521,741.4271,741.4277
15-Sep-20,195.2061,264.6993,741.1959,741.193
16-Sep-20,194.7093,265.1071,741.8706,741.867
17-Sep-20,193.5012,265.4225,742.8742,742.8767
18-Sep-20,192.7729,265.2575,744.8389,744.8409
21-Sep-20,191.4623,265.1481,741.126,741.1209
22-Sep-20,191.6795,265.684,742.2307,742.2337
23-Sep-20,189.322,264.1033,738.3742,738.38
24-Sep-20,188.5619,264.082,735.6229,735.6254
25-Sep-20,189.0413,264.265,735.635,735.634
28-Sep-20,189.2008,264.4464,736.914,736.9136
29-Sep-20,191.5471,265.8319,737.1216,737.1182
30-Sep-20,190.3313,266.0125,739.8373,739.8363
01-Oct-20,191.0674,265.6798,737.2455,737.2492
02-Oct-20,192.24,266.0927,737.0867,737.0902
05-Oct-20,190.5822,265.5566,737.4802,737.4786
06-Oct-20,189.8721,265.3288,737.7519,737.7469
07-Oct-20,189.5186,264.0911,737.9353,737.9339
08-Oct-20,188.9035,263.349,737.6495,737.6428
09-Oct-20,190.2862,262.9453,738.0864,738.0858
12-Oct-20,190.353,262.9371,738.1387,738.1378
13-Oct-20,189.1783,263.1846,738.295,738.2906
14-Oct-20,189.5015,262.7326,738.4317,738.4317
15-Oct-20,188.9703,261.9551,738.7967,738.8019
16-Oct-20,188.9384,261.994,739.2549,739.258
19-Oct-20,189.5934,261.7651,740.573,740.5701
20-Oct-20,190.0306,262.2079,741.0682,741.0616
21-Oct-20,191.1823,261.7697,741.9262,741.9272
22-Oct-20,190.6613,261.9293,740.5796,740.5755
23-Oct-20,191.047,261.6188,740.7652,740.7706
26-Oct-20,191.4351,261.2105,738.4507,738.4469
27-Oct-20,191.0468,260.9354,737.1124,737.1126
28-Oct-20,190.9587,261.1841,732.4254,732.4243
29-Oct-20,191.0956,261.2607,730.5138,730.5131
30-Oct-20,190.8047,261.3869,728.7228,728.7307
02-Nov-20,190.4301,261.8335,728.5384,728.5453
03-Nov-20,190.224,262.6884,733.3355,733.3317
04-Nov-20,190.0276,263.0096,737.918,737.9103
05-Nov-20,189.5388,263.4777,743.005,743.0094
06-Nov-20,190.0868,264.566,743.0987,743.0992
09-Nov-20,190.9661,264.7191,746.8449,746.8502
10-Nov-20,190.9757,264.6325,753.1624,753.1588
11-Nov-20,191.2786,264.587,752.7066,752.7083
